TABELA DE TOKENS
==================

token: 455, codigo: 68, ref. tabela simbolo: -1, tipo: constante, linha: 24, coluna: 36
token: -, codigo: 69, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 40
token: 678678, codigo: 70, ref. tabela simbolo: -1, tipo: constante, linha: 24, coluna: 42
token: *, codigo: 71, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 49
token: 2, codigo: 72, ref. tabela simbolo: -1, tipo: constante, linha: 24, coluna: 51
token: ), codigo: 73, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 53
token: %, codigo: 74, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 55
token: 2, codigo: 75, ref. tabela simbolo: -1, tipo: constante, linha: 24, coluna: 57
token: ), codigo: 76, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 59
token: ==, codigo: 77, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 61
token: 0, codigo: 78, ref. tabela simbolo: -1, tipo: constante, linha: 24, coluna: 64
token: ), codigo: 79, ref. tabela simbolo: -1, tipo: operador, linha: 24, coluna: 66
token: while, codigo: 80, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 26, coluna: 3
token: (, codigo: 81, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 9
token: x, codigo: 82, ref. tabela simbolo: 1, tipo: identificador, linha: 26, coluna: 11
token: >, codigo: 83, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 13
token: 10, codigo: 84, ref. tabela simbolo: -1, tipo: constante, linha: 26, coluna: 15
token: and, codigo: 85, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 18
token: x, codigo: 86, ref. tabela simbolo: 1, tipo: identificador, linha: 26, coluna: 22
token: <=, codigo: 87, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 24
token: 20, codigo: 88, ref. tabela simbolo: -1, tipo: constante, linha: 26, coluna: 27
token: ), codigo: 89, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 30
token: or, codigo: 90, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 32
token: (, codigo: 91, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 35
token: x, codigo: 92, ref. tabela simbolo: 1, tipo: identificador, linha: 26, coluna: 37
token: >, codigo: 93, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 39
token: 50, codigo: 94, ref. tabela simbolo: -1, tipo: constante, linha: 26, coluna: 41
token: ), codigo: 95, ref. tabela simbolo: -1, tipo: operador, linha: 26, coluna: 44
token: begin, codigo: 96, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 26, coluna: 46
token: end, codigo: 97, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 28, coluna: 3
token: for, codigo: 98, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 30, coluna: 3
token: i, codigo: 99, ref. tabela simbolo: 8, tipo: identificador, linha: 30, coluna: 7
token: in, codigo: 100, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 30, coluna: 9
token: 1, codigo: 101, ref. tabela simbolo: -1, tipo: constante, linha: 30, coluna: 12
token: to, codigo: 102, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 30, coluna: 14
token: x, codigo: 103, ref. tabela simbolo: 1, tipo: identificador, linha: 30, coluna: 17
token: begin, codigo: 104, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 30, coluna: 19
token: end, codigo: 105, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 32, coluna: 3
token: end, codigo: 106, ref. tabela simbolo: -1, tipo: palavra reservada, linha: 33, coluna: 2
